noise_condition,family_pass_rate,robustness_volume,positive_recall_mean,positive_recall_p05,false_alarm_per_min_mean,worst_seed_p05,progression_violations_total,reset_failure_rate_max,robustness_auc_proxy
clean,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,0.8184210526315789
input_gaussian_0p02,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,0.8184210526315789
input_gaussian_0p05,0.95,0.9944444444444445,0.9875,1.0,0.0,0.9500000000000002,0,0.0,0.8184210526315789
input_gaussian_0p10,0.94,0.99,0.98125,1.0,0.0,0.0,0,0.0,0.8184210526315789
gain_noise_0p05,0.98,0.9944444444444445,0.99,1.0,0.047619047619047616,1.0,0,0.0,0.8184210526315789
slow_drift_0p10,0.9,0.9777777777777777,0.96875,1.0,0.23809523809523808,0.0,0,0.0,0.8184210526315789
colored_1f_0p05,0.89,0.9777777777777777,0.9575,1.0,0.0,0.0,0,1.0,0.8184210526315789
line_50hz_0p05,0.95,0.9888888888888889,0.98125,1.0,0.0,0.9500000000000002,0,0.0,0.8184210526315789
event_jitter_5ms,0.91,0.99,0.98,1.0,0.0,0.0,0,1.0,0.8184210526315789
event_dropout_0p10,0.01,0.7166666666666667,0.41375,0.0,0.0,0.0,0,0.0,0.8184210526315789
false_spikes_0p02,0.97,0.9966666666666667,1.0,1.0,0.0,1.0,0,1.0,0.8184210526315789
impulse_artifact_0p25,0.99,0.9988888888888889,1.0,1.0,0.0,1.0,0,1.0,0.8184210526315789
clipping_0p75,0.55,0.8,0.55,0.0,0.0,0.0,0,0.0,0.8184210526315789
mismatch_0p05,0.69,0.9522222222222222,0.98,1.0,0.09523809523809523,0.0,6,1.0,0.8184210526315789
mismatch_0p10,0.59,0.9222222222222223,0.965,1.0,0.09523809523809523,0.0,18,1.0,0.8184210526315789
mismatch_0p20,0.33,0.7488888888888889,0.9,0.0,0.19047619047619047,0.0,191,1.0,0.8184210526315789
quant_8bit,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,0.8184210526315789
quant_6bit,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,0.8184210526315789
quant_4bit,0.9,0.9888888888888889,1.0,1.0,0.23809523809523808,0.0,0,1.0,0.8184210526315789
