tier	target_fp_min	AUROC_median	AUPRC_median	recall_median	precision_median	F1_median	fp_per_min_achieved_median	median_latency_ms_median	one_alarm_per_burst_fraction_median	tier1_to_tier2_AUROC_delta	tier1_to_tier2_recall_delta	tier1_to_tier2_F1_delta	quantization_threshold_shift	tier2_to_tier3_AUROC_delta	tier2_to_tier3_recall_delta	tier2_to_tier3_F1_delta	tier3_recall_5th_percentile	tier3_recall_95th_percentile	tier3_F1_5th_percentile	tier3_F1_95th_percentile	worst_seed	target_status	target_dependent_gate_status	support_status	qc_status	qc_reason	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate
tier1_continuous	0.5	0.8279300021086916	0.41447837625281764	0.0021452080557950006	0.4256120527306968	0.004268899620698946	0.04821688555859222	150.00000000000568	0.002076639761774156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier1_continuous	1.0	0.8279300021086916	0.41447837625281764	0.0021452080557950006	0.4256120527306968	0.004268899620698946	0.04821688555859222	150.00000000000568	0.002076639761774156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier1_continuous	2.0	0.8279300021086916	0.41447837625281764	0.039319018885667266	0.38123771182473554	0.07128594882238352	1.0448045792024132	149.99999999999858	0.038799858945223725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier1_continuous	5.0	0.8279300021086916	0.41447837625281764	0.13387469634041219	0.33672647381911386	0.19158114042525873	4.295413106598391	149.99999999999858	0.13272862628320664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier2_quantized	0.5	0.827925936846802	0.4169644280388428	NA	NA	NA	NA	NA	NA	4.065261889563132e-06	NA	NA	5.804225833015646	NA	NA	NA	NA	NA	NA	NA	NA	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier2_quantized	1.0	0.827925936846802	0.4169644280388428	0.023029151320429434	0.3973125414731254	0.04353491835787409	0.574334246670051	149.99999999999858	0.02262753702687877	4.065261889563132e-06	-0.020883943264634434	-0.03926601873717515	4.804225833015646	NA	NA	NA	NA	NA	NA	NA	NA	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier2_quantized	2.0	0.827925936846802	0.4169644280388428	0.03955411017945302	0.38088153245304074	0.07166580837740867	1.0525508985216623	149.99999999999858	0.039034950239009485	4.065261889563132e-06	-0.00023509129378575244	-0.0003798595550251471	1.4224752088425818	NA	NA	NA	NA	NA	NA	NA	NA	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier2_quantized	5.0	0.827925936846802	0.4169644280388428	0.13733249745317766	0.3359612462006079	0.19496728028571458	4.420777009050731	149.99999999999858	0.1361766319253977	4.065261889563132e-06	-0.003457801112765474	-0.0033861398604558557	0.6393840675154683	NA	NA	NA	NA	NA	NA	NA	NA	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier3_quantized_mismatched	0.5	0.8197257700122798	0.40893838611569117	0.002561515555207272	0.3848387977076917	0.005089157139399711	0.066001802362991	150.00000000000034	0.002561515555207272	NA	NA	NA	NA	0.008200166834522293	NA	NA	0.0023695243319489068	0.0027833829637175767	0.004707778061950926	0.005529907891281327	24.0	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier3_quantized_mismatched	1.0	0.8197257700122798	0.40893838611569117	0.002561515555207272	0.3848387977076917	0.005089157139399711	0.066001802362991	150.00000000000034	0.002561515555207272	NA	NA	NA	NA	0.008200166834522293	0.02046763576522216	0.03844576121847438	0.0023695243319489068	0.0027833829637175767	0.004707778061950926	0.005529907891281327	24.0	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier3_quantized_mismatched	2.0	0.8197257700122798	0.40893838611569117	0.0393679962385393	0.3812345255504668	0.07136841471300837	1.0478082540404894	149.99999999999858	0.03882924535694695	NA	NA	NA	NA	0.008200166834522293	0.00018611394091371664	0.00029739366440030557	0.03915935271530444	0.03959965911762401	0.07098647987776473	0.071772199676055	18.0	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier3_quantized_mismatched	5.0	0.8197257700122798	0.40893838611569117	0.13336043413525586	0.3340664679477072	0.19062319351086626	4.3290068383400335	149.99999999999858	0.13225844369563516	NA	NA	NA	NA	0.008200166834522293	0.003972063317921798	0.004344086774848321	0.13289955724473004	0.13383257581694225	0.1899810625450626	0.19128642578319321	1.0	unavailable	unavailable	proxy	warning	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_three_tier_event_summary.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
